"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"D2,D1";"CUHS20F30H3F";2;"CUHS20F30,H3F";;;
2;"V33,COM,VDD,GND";"TestPoint_Pad_D1.5mm";4;"TestPoint";;;
3;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
4;"Q1";"SSM3J332RLFT";1;"SSM3J332R,LF";;;
5;"ICS";"PinHeader_1x03_P2.54mm_Vertical";1;"I.C.S";;;
6;"IC1";"SOT230P700X180-4N";1;"AZ1117CH-3.3TRG1";;;
7;"R9,R5,R8,R7,R10,R4,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"10k";;;
8;"SWD";"PinHeader_1x05_P2.54mm_Vertical";1;"SWD";;;
9;"F1";"FUSC3226X110N";1;"MF-USMF010-2";;;
10;"DISP";"PinHeader_1x04_P2.54mm_Vertical";1;"DISP";;;
11;"S1";"SKRHAAE010";1;"SKRHAAE010";;;
12;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
13;"JP3,JP1,JP4,JP2";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";4;"SolderJumper_2_Open";;;
14;"C4,C3,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"0.1u";;;
15;"R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"3.3k";;;
16;"IC3";"SOT95P280X130-5N";1;"SIT2001BI-S2-33E-12.000000G";;;
17;"IC2";"SOP65P640X120-20N";1;"STM32L010F4P6";;;
